type	model	1	2	3	4	5	overall
train	fitbit_nw_nonen	0.254872685888712	0.684975963815075	1.58164893957553	2.58401490695642	3.529308365951	0.576202617703889
test	fitbit_nw_nonen	0.25913224968869	0.753540424845392	1.82570529844914	2.62610396735262	3.50885133139635	0.60652450348553
train	fitbiut_nw_en	0.237543817579481	0.702217964550615	1.62765102029757	2.6527068950445	3.67949587815536	0.584705765865492
test	fitbiut_nw_en	0.233405804621313	0.745198533282944	1.78419660659159	2.56732810145084	3.55966768187181	0.590674531836284
train	fitbit_w_nonen	1.72118697725871	1.09521151076528	0.631342063991015	0.84614951352149	1.15274417905664	1.6150506077303
test	fitbit_w_nonen	1.73228102331781	1.08586329902299	1.1748230265991	1.29008049206889	1.81326827916665	1.63920423872939
train	fitbit_w_en	1.79293685845995	1.11261614540939	0.474121205148651	0.870595255990392	1.46695698607172	1.67874979582951
test	fitbit_w_en	1.76846284678117	1.08479031193577	0.77676366767986	1.05067909621446	1.72892949349886	1.66107616133716
train	comb_nw_nonen	0.267351412797647	0.659621046443642	1.50073430333687	2.48253615375529	3.41927672751717	0.561479264278891
test	comb_nw_nonen	0.2804699598024	0.734914935438421	1.80664549641243	2.62863634180484	3.53487339601193	0.610210594744848
train	comb_nw_en	0.236688902347958	0.68627833776078	1.58662359703518	2.59890800621588	3.64877010569794	0.574344690386056
test	comb_nw_en	0.236379204244099	0.726943328462996	1.78031563690164	2.54427630007847	3.55292117102876	0.586691398859976
train	comb_w_nonen	1.59270839782775	0.979907424309187	0.656033922599559	0.740248239312662	0.778045356774851	1.49125863445295
test	comb_w_nonen	1.63095184080891	1.10327902824409	1.2940292198912	1.73532232966415	2.20162886269888	1.56404775257009
train	comb_w_en	1.66208014323501	0.997685270509296	0.529190850493927	0.819964774180412	1.14044782590397	1.55339918955962
test	comb_w_en	1.65622644989991	0.976686188384193	0.872883442655713	1.12222513728337	1.76440349735313	1.55619903355174
